# omega0=1.00, alpha=0.20
# theta0=-0.80, theta_dot0=0.12
# t_start=0.00, t_end=250.00, h=0.01
#   t          x(t)                 v(t)       
1.675516081914552e+01 -1.330049278956494e+01 -4.850267169122381e-01
1.687151610261182e+01 -1.335734914852949e+01 -4.918099227927701e-01
1.698787138607813e+01 -1.341483462862627e+01 -4.958222563012198e-01
1.710422666954443e+01 -1.347262129867412e+01 -4.969758488474250e-01
1.722058195301074e+01 -1.353037337612020e+01 -4.952226323707091e-01
1.733693723647704e+01 -1.358775149021934e+01 -4.905478133616271e-01
1.745329251994335e+01 -1.364441612268170e+01 -4.829623292934229e-01
1.756964780340966e+01 -1.370003013186052e+01 -4.724947111551876e-01
1.768600308687596e+01 -1.375426031626671e+01 -4.591827775738123e-01
1.780235837034227e+01 -1.380677802134219e+01 -4.430655581349294e-01
1.791871365380857e+01 -1.385725883691866e+01 -4.241757928035456e-01
1.803506893727488e+01 -1.390538146947686e+01 -4.025332896163800e-01
1.815142422074118e+01 -1.395082590211753e+01 -3.781393534271995e-01
1.826777950420749e+01 -1.399327097603249e+01 -3.509724330902589e-01
1.838413478767379e+01 -1.403239154111751e+01 -3.209850801466052e-01
1.850049007114010e+01 -1.406785533180136e+01 -2.881022739001851e-01
1.861684535460640e+01 -1.409931972925038e+01 -2.522211487409022e-01
1.873320063807271e+01 -1.412642857515750e+01 -2.132121608636180e-01
1.884955592153901e+01 -1.414880920769769e+01 -1.709217528365843e-01
1.896591120500532e+01 -1.416606989918132e+01 -1.251766143036422e-01
1.908226648847162e+01 -1.417779788948017e+01 -7.578969290213576e-02
1.919862177193793e+01 -1.418355823108561e+01 -2.256817736736310e-02
1.931497705540423e+01 -1.418289369177230e+01 3.467625114204462e-02
1.943133233887054e+01 -1.417532599950348e+01 9.611453251132600e-02
1.954768762233684e+01 -1.416035876027360e+01 1.618842857691254e-01
1.966404290580315e+01 -1.413748242974428e+01 2.320703789683775e-01
1.978039818926945e+01 -1.410618176723735e+01 3.066816395351101e-01
1.989675347273576e+01 -1.406594623465390e+01 3.856235168561289e-01
2.001310875620206e+01 -1.401628380560909e+01 4.686668747734490e-01
2.012946403966837e+01 -1.395673859617832e+01 5.554137108398164e-01
2.024581932313467e+01 -1.388691258470442e+01 6.452615371259496e-01
2.036217460660098e+01 -1.380649141467030e+01 7.373694455607196e-01
2.047852989006728e+01 -1.371527383277069e+01 8.306304693389637e-01
