# Spherical Bessel functions via up and down recursion
log(x)   ans_down   ans_up   gsl_bes   log(rel_dif)   rel_dif_gsl
2.517696472611 1.059788113939e-01 1.059788113939e-01 1.059788113939e-01 -3.432043421539e+01 1.178538319383e-15 
2.525728644308 1.051103114928e-01 1.051103114928e-01 1.051103114928e-01 -3.264152388042e+01 6.403488859654e-15 
2.533696813957 1.039470429046e-01 1.039470429046e-01 1.039470429046e-01 -3.529960543049e+01 6.007871257335e-16 
2.541601993465 1.024854669007e-01 1.024854669007e-01 1.024854669007e-01 -3.653820783457e+01 6.770612569517e-17 
2.549445170926 1.007234932094e-01 1.007234932094e-01 1.007234932094e-01 -3.582771872333e+01 1.377810415983e-16 
2.557227311368 9.866054190776e-02 9.866054190776e-02 9.866054190776e-02 -3.650017192084e+01 0.000000000000e+00 
2.564949357462 9.629759715657e-02 9.629759715657e-02 9.629759715657e-02 -3.607046509111e+01 3.602838548830e-16 
2.572612230207 9.363725210913e-02 9.363725210913e-02 9.363725210913e-02 -3.714106230986e+01 1.482079780774e-16 
2.580216829592 9.068374436865e-02 9.068374436865e-02 9.068374436865e-02 -3.601039984116e+01 4.591050326969e-16 
2.587764035228 8.744298142579e-02 8.744298142579e-02 8.744298142579e-02 -3.707262095304e+01 0.000000000000e+00 
2.595254706957 8.392255556754e-02 8.392255556754e-02 8.392255556754e-02 -3.703152842898e+01 1.157549528821e-15 
2.602689685444 8.013174781556e-02 8.013174781556e-02 8.013174781556e-02 -3.698530614074e+01 8.659356738204e-17 
2.610069792742 7.608152052455e-02 7.608152052455e-02 7.608152052455e-02 -3.554714505572e+01 9.120340729347e-17 
2.617395832834 7.178449834872e-02 7.178449834872e-02 7.178449834872e-02          -inf 9.666284592809e-17 
2.624668592163 6.725493736665e-02 6.725493736665e-02 6.725493736665e-02          -inf 3.095190111952e-16 
2.631888840137 6.250868224133e-02 6.250868224133e-02 6.250868224133e-02 -3.563832718722e+01 6.660412910755e-16 
2.639057329615 5.756311138156e-02 5.756311138156e-02 5.756311138156e-02          -inf 0.000000000000e+00 
2.646174797384 5.243707016410e-02 5.243707016410e-02 5.243707016410e-02          -inf 1.323280244718e-16 
2.653241964607 4.715079236996e-02 4.715079236996e-02 4.715079236996e-02 -3.604951971907e+01 0.000000000000e+00 
2.660259537266 4.172581008460e-02 4.172581008460e-02 4.172581008460e-02 -3.592728878904e+01 0.000000000000e+00 
2.667228206582 3.618485240839e-02 3.618485240839e-02 3.618485240839e-02 -3.688342178300e+01 3.835247868690e-16 
2.674148649427 3.055173341955e-02 3.055173341955e-02 3.055173341955e-02 -3.579791188604e+01 1.703396123704e-16 
2.681021528714 2.485122992736e-02 2.485122992736e-02 2.485122992736e-02 -3.559139770700e+01 2.094129925618e-16 
2.687847493785 1.910894964656e-02 1.910894964656e-02 1.910894964656e-02 -3.555179080613e+01 9.985874989829e-16 
2.694627180770 1.335119051413e-02 1.335119051413e-02 1.335119051413e-02 -3.470773175511e+01 8.445466029350e-16 
2.701361212951 7.604791957001e-03 7.604791957001e-03 7.604791957001e-03 -3.393726540163e+01 1.767846775406e-15 
2.708050201102 1.896979001090e-03 1.896979001090e-03 1.896979001090e-03 -3.298193910985e+01 1.034490066084e-14 
2.714694743821 -3.744799810030e-03 -3.744799810030e-03 -3.744799810030e-03 -3.412964153799e+01 2.200367690903e-15 
2.721295427852 -9.293039647793e-03 -9.293039647793e-03 -9.293039647793e-03 -3.621719406904e+01 2.706702150747e-15 
2.727852828398 -1.472035067876e-02 -1.472035067876e-02 -1.472035067876e-02 -3.466225628981e+01 2.356905095312e-16 
2.734367509420 -1.999963223135e-02 -1.999963223135e-02 -1.999963223135e-02 -3.519188278978e+01 1.127590994016e-15 
2.740840023925 -2.510424863938e-02 -2.510424863938e-02 -2.510424863938e-02 -3.611235318570e+01 1.382015849903e-16 
2.747270914255 -3.000820551212e-02 -3.000820551212e-02 -3.000820551212e-02 -3.343815551681e+01 3.179456736931e-15 
2.753660712354 -3.468632514962e-02 -3.468632514962e-02 -3.468632514962e-02 -3.158363134284e+01 1.960460209173e-14 
2.760009940033 -3.911441980056e-02 -3.911441980056e-02 -3.911441980056e-02 -3.425322218425e+01 1.507899094092e-15 
2.766319109226 -4.326946144838e-02 -4.326946144838e-02 -4.326946144838e-02 -3.567593394023e+01 7.216411187562e-16 
2.772588722240 -4.712974681063e-02 -4.712974681063e-02 -4.712974681063e-02 -3.484510046927e+01 8.097628155066e-16 
2.778819271990 -5.067505624589e-02 -5.067505624589e-02 -5.067505624589e-02 -3.502299041843e+01 6.161813105065e-16 
2.785011242238 -5.388680528287e-02 -5.388680528287e-02 -5.388680528287e-02 -3.520222529981e+01 1.287679584545e-16 
2.791165107813 -5.674818751762e-02 -5.674818751762e-02 -5.674818751762e-02 -3.623479262266e+01 2.445503268894e-16 
2.797281334830 -5.924430766645e-02 -5.924430766645e-02 -5.924430766645e-02 -3.558469142653e+01 2.928084645268e-16 
2.803360380907 -6.136230361444e-02 -6.136230361444e-02 -6.136230361444e-02          -inf 1.130807270129e-16 
2.809402695362 -6.309145636261e-02 -6.309145636261e-02 -6.309145636261e-02 -3.674621937494e+01 0.000000000000e+00 
2.815408719423 -6.442328684937e-02 -6.442328684937e-02 -6.442328684937e-02 -3.676710917772e+01 1.077078529093e-16 
2.821378886409 -6.535163870444e-02 -6.535163870444e-02 -6.535163870444e-02          -inf 2.123556208067e-16 
2.827313621929 -6.587274608508e-02 -6.587274608508e-02 -6.587274608508e-02          -inf 1.053378569484e-16 
2.833213344056 -6.598528584466e-02 -6.598528584466e-02 -6.598528584466e-02 -3.679106578836e+01 0.000000000000e+00 
2.839078463509 -6.569041339153e-02 -6.569041339153e-02 -6.569041339153e-02 -3.678658701289e+01 2.112604730480e-16 
2.844909383819 -6.499178171126e-02 -6.499178171126e-02 -6.499178171126e-02          -inf 0.000000000000e+00 
2.850706501504 -6.389554314687e-02 -6.389554314687e-02 -6.389554314687e-02 -3.675888362458e+01 1.085974633310e-16 
2.856470206220 -6.241033365800e-02 -6.241033365800e-02 -6.241033365800e-02          -inf 1.111818107227e-16 
2.862200880929 -6.054723941178e-02 -6.054723941178e-02 -6.054723941178e-02 -3.739820507058e+01 1.146029773004e-16 
2.867898902044 -5.831974569181e-02 -5.831974569181e-02 -5.831974569181e-02 -3.666757474006e+01 0.000000000000e+00 
2.873564639580 -5.574366824944e-02 -5.574366824944e-02 -5.574366824944e-02          -inf 0.000000000000e+00 
2.879198457298 -5.283706735890e-02 -5.283706735890e-02 -5.283706735890e-02 -3.656884699065e+01 0.000000000000e+00 
2.884800712847 -4.962014497631e-02 -4.962014497631e-02 -4.962014497631e-02 -3.650603091293e+01 6.992012928641e-17 
2.890371757896 -4.611512553980e-02 -4.611512553980e-02 -4.611512553980e-02 -3.712592219250e+01 1.504689366598e-16 
2.895911938272 -4.234612108272e-02 -4.234612108272e-02 -4.234612108272e-02          -inf 2.457920723253e-16 
