# m=1, k=39.4784, p=2
# x0=0, v0=1
# t_start=0, t_end=10, h=0.001
#   t          x(t)               v(t)               KE(t)              PE(x(t)) 
2.3600  3.109873975605329e-03  -2.495508321886154e-03  3.113780892301523e-06  1.909041287612054e-04
2.3700  3.085018750734010e-03  -2.475563327010066e-03  3.064206893018574e-06  1.878647751683695e-04
2.3800  3.060362177707830e-03  -2.455777739665149e-03  3.015422153317433e-06  1.848738106298838e-04
2.3900  3.035902668830207e-03  -2.436150285809410e-03  2.967414107524635e-06  1.819304647514819e-04
2.4000  3.011638649093998e-03  -2.416679701583459e-03  2.920170390022757e-06  1.790339794042195e-04
2.4100  2.987568556080079e-03  -2.397364733229117e-03  2.873678832065357e-06  1.761836085292000e-04
2.4200  2.963690839856741e-03  -2.378204137008692e-03  2.827927458642629e-06  1.733786179454090e-04
2.4300  2.940003962879880e-03  -2.359196679124890e-03  2.782904485396954e-06  1.706182851606087e-04
2.4400  2.916506399893996e-03  -2.340341135641362e-03  2.738598315587550e-06  1.679018991852428e-04
2.4500  2.893196637833977e-03  -2.321636292403899e-03  2.694997537103461e-06  1.652287603493040e-04
2.4600  2.870073175727668e-03  -2.303080944962246e-03  2.652090919524097e-06  1.625981801221177e-04
2.4700  2.847134524599220e-03  -2.284673898492544e-03  2.609867411226560e-06  1.600094809349938e-04
2.4800  2.824379207373211e-03  -2.266413967720394e-03  2.568316136539049e-06  1.574619960067034e-04
2.4900  2.801805758779535e-03  -2.248299976844535e-03  2.527426392939567e-06  1.549550691717332e-04
2.5000  2.779412725259047e-03  -2.230330759461128e-03  2.487187648299225e-06  1.524880547112741e-04
2.5100  2.757198664869970e-03  -2.212505158488653e-03  2.447589538169449e-06  1.500603171869014e-04
2.5200  2.735162147195037e-03  -2.194822026093397e-03  2.408621863112363e-06  1.476712312769021e-04
2.5300  2.713301753249389e-03  -2.177280223615548e-03  2.370274586073685e-06  1.453201816152084e-04
2.5400  2.691616075389201e-03  -2.159878621495865e-03  2.332537829797439e-06  1.430065626328960e-04
2.5500  2.670103717221044e-03  -2.142616099202953e-03  2.295401874281840e-06  1.407297784022046e-04
2.5600  2.648763293511959e-03  -2.125491545161103e-03  2.258857154275666e-06  1.384892424830430e-04
2.5700  2.627593430100270e-03  -2.108503856678716e-03  2.222894256814510e-06  1.362843777719374e-04
2.5800  2.606592763807087e-03  -2.091651939877300e-03  2.187503918796235e-06  1.341146163533844e-04
2.5900  2.585759942348537e-03  -2.074934709621028e-03  2.152677024595050e-06  1.319793993535712e-04
2.6000  2.565093624248683e-03  -2.058351089446871e-03  2.118404603713561e-06  1.298781767964240e-04
2.6100  2.544592478753141e-03  -2.041900011495275e-03  2.084677828472203e-06  1.278104074619486e-04
2.6200  2.524255185743394e-03  -2.025580416441401e-03  2.051488011735459e-06  1.257755587468263e-04
2.6300  2.504080435651782e-03  -2.009391253426912e-03  2.018826604674289e-06  1.237731065272293e-04
2.6400  2.484066929377182e-03  -1.993331479992310e-03  1.986685194564167e-06  1.218025350238202e-04
2.6500  2.464213378201347e-03  -1.977400062009805e-03  1.955055502618190e-06  1.198633366689001e-04
2.6600  2.444518503705932e-03  -1.961595973616722e-03  1.923929381854669e-06  1.179550119756736e-04
2.6700  2.424981037690164e-03  -1.945918197149454e-03  1.893298814998690e-06  1.160770694095927e-04
2.6800  2.405599722089186e-03  -1.930365723077919e-03  1.863155912417069e-06  1.142290252617512e-04
2.6900  2.386373308893046e-03  -1.914937549940566e-03  1.833492910086189e-06  1.124104035242941e-04
2.7000  2.367300560066335e-03  -1.899632684279879e-03  1.804302167592190e-06  1.106207357678096e-04
2.7100  2.348380247468460e-03  -1.884450140578412e-03  1.775576166162999e-06  1.088595610206746e-04
2.7200  2.329611152774573e-03  -1.869388941195326e-03  1.747307506731690e-06  1.071264256503203e-04
2.7300  2.310992067397110e-03  -1.854448116303435e-03  1.719488908030679e-06  1.054208832463881e-04
